CID,SMILES,calculated,measured
hexanoic acid,CCCCCC(=O)O,-7.878,-6.21
diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-8.683,-5.71
"2,4-dimethylpyridine",Cc1ccnc(C)c1,-3.282,-4.86
cyclohexene,C1=CCCCC1,1.175,0.14
"1,4-dimethylpiperazine",CN1CCN(C)CC1,-7.874,-7.58
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-1.083,-3.04
quinone,O=C1C=CC(=O)C=C1,-6.96,-6.5
methyl 2-chloroacetate,COC(=O)CCl,-3.816,-4.0
butanal,CCCC=O,-3.044,-3.18
ethylbenzene,CCc1ccccc1,-0.606,-0.79
"1,1,2-trichloroethylene",ClC=C(Cl)Cl,0.818,-0.44
"N,N-diethylethanamine",CCN(CC)CC,-1.955,-3.22
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-2.31,-4.15
"3,4-dimethylpyridine",Cc1ccncc1C,-3.201,-5.22
cyanuric acid,O=c1[nH]c(=O)[nH]c(=O)[nH]1,-21.762,-18.06
benzaldehyde,O=Cc1ccccc1,-5.058,-4.02
2-chloropyridine,Clc1ccccn1,-3.873,-4.39
3-chloroprop-1-ene,C=CCCl,0.944,-0.57
1-(p-tolyl)ethanone,CC(=O)c1ccc(C)cc1,-4.91,-4.7
formaldehyde,C=O,-3.155,-2.75
1-chloro-2-methyl-benzene,Cc1ccccc1Cl,-0.473,-1.14
1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-7.831,-9.8
"1,1,1-trimethoxyethane",COC(C)(OC)OC,-3.7,-4.42
butylbenzene,CCCCc1ccccc1,-0.227,-0.4
"N,N-dimethylaniline",CN(C)c1ccccc1,-4.426,-3.45
2-methoxypropane,COC(C)C,-0.657,-2.01
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-1.147,-4.53
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.76,-2.98
"1,1,2-trichloroethane",ClCC(Cl)Cl,-0.384,-1.99
N-methylaniline,CNc1ccccc1,-5.719,-4.69
isopropyl acetate,CC(=O)OC(C)C,-3.371,-2.64
benzene,c1ccccc1,-0.806,-0.9
"1,2,3-trichlorobenzene",Clc1cccc(Cl)c1Cl,-0.51,-1.24
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-7.024,-6.5
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",COP(=S)(OC)SCn1nnc2ccccc2c1=O,-14.106,-10.03
"1,2,4-trichlorodibenzo-p-dioxin",Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,-3.16,-4.05
"2,3-dimethylbuta-1,3-diene",C=C(C)C(=C)C,1.862,0.4
hex-1-ene,C=CCCCC,2.628,1.58
ethoxyethane,CCOCC,-0.617,-1.59
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNc1nc(NC(C)C)nc(SC)n1,-10.552,-7.65
butyl paraben,CCCCOC(=O)c1ccc(O)cc1,-8.771,-8.72
hexyl acetate,CCCCCCOC(C)=O,-2.219,-2.26
cyclopentanone,O=C1CCCC1,-3.889,-4.7
pentanoic acid,CCCCC(=O)O,-9.053,-6.16
bromoethane,CCBr,0.487,-0.74
"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1,-2.848,-2.63
hexan-1-ol,CCCCCCO,-3.0,-4.4
1-chloro-2-phenyl-benzene,Clc1ccccc1-c1ccccc1,-2.508,-2.69
1-methylcyclohexene,CC1=CCCCC1,1.338,0.67
hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.596,-1.66
bromoform,BrC(Br)Br,-0.531,-2.13
4-ethylphenol,CCc1ccc(O)cc1,-5.453,-6.13
2-propoxyethanol,CCCOCCO,-3.94,-6.4
phenyl formate,O=COc1ccccc1,-5.442,-3.82
5-iodouracil,O=c1[nH]cc(I)c(=O)[nH]1,-17.742,-18.72
butyric acid,CCCC(=O)O,-9.434,-6.35
"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(OC)(OC)C(F)(F)F,-2.319,-0.8
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",OC1COC(O)C(O)C1O,-14.148,-20.52
bromo-trifluoro-methane,FC(F)(F)Br,1.564,1.79
butan-1-ol,CCCCO,-3.232,-4.72
fluorobenzene,Fc1ccccc1,-0.041,-0.8
ethyl acetate,CCOC(C)=O,-3.745,-2.94
isobutyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,-2.58,-1.69
2-methoxy-2-methyl-propane,COC(C)(C)C,-0.691,-2.21
heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-0.974,-2.55
pentan-3-one,CCC(=O)CC,-3.05,-3.41
"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.353,-1.1
naphthalene,c1ccc2ccccc2c1,-3.213,-2.4
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-0.805,-4.4
acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,-9.399,-9.94
"3,3-dimethylbutan-2-one",CC(=O)C(C)(C)C,-3.234,-3.11
methyl methanesulfonate,COS(C)(=O)=O,-8.824,-4.87
4-ethylpyridine,CCc1ccncc1,-3.19,-4.73
N-isopropylpropan-2-amine,CC(C)NC(C)C,-1.985,-3.22
"2,7-dichlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-3.321,-3.67
heptan-1-amine,CCCCCCCN,-2.554,-3.79
methylcyclopentane,CC1CCCC1,1.785,1.59
propane,CCC,2.495,2.0
2-methyltetrahydrofuran,CC1CCCO1,-1.984,-3.3
naphthalen-1-yl N-methylcarbamate,CNC(=O)Oc1cccc2ccccc12,-10.436,-9.45
3-hydroxybenzaldehyde,O=Cc1cccc(O)c1,-9.369,-9.52
anthracene,c1ccc2cc3ccccc3cc2c1,-5.187,-3.95
dichloromethane,ClCCl,0.038,-1.31
"methyl 2,2-dimethylpropanoate",COC(=O)C(C)(C)C,-3.304,-2.4
trichloro(nitro)methane,O=[N+]([O-])C(Cl)(Cl)Cl,-0.379,-1.45
sulfolane,O=S1(=O)CCCC1,-9.624,-8.61
"2,6-dimethylphenol",Cc1cccc(C)c1O,-4.308,-5.26
m-cresol,Cc1cccc(O)c1,-5.378,-5.49
"1-amino-4-hydroxy-9,10-anthracenedione",Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-10.984,-9.53
"1,4-diamino-9,10-anthracenedione",Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,-15.252,-11.85
nonan-2-one,CCCCCCCC(C)=O,-2.563,-2.49
butan-1-amine,CCCCN,-2.961,-4.24
ethyl butanoate,CCCC(=O)OCC,-3.381,-2.49
4-methylaniline,Cc1ccc(N)cc1,-5.494,-5.57
1-iodohexane,CCCCCCI,0.043,0.08
"1,1,2-trichloro-1,2,2-trifluoro-ethane",FC(F)(Cl)C(F)(Cl)Cl,1.691,1.77
trimethyl phosphate,COP(=O)(OC)OC,-10.642,-8.7
"1,3-dichlorobenzene",Clc1cccc(Cl)c1,-0.11,-0.98
"1,3-dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-2.995,-2.47
isohexane,CCCC(C)C,2.808,2.51
chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-9.625,-5.04
"2-chloro-1,1,1-trifluoro-ethane",FC(F)(F)CCl,0.233,0.06
ethylene,C=C,2.328,1.28
1-iodopentane,CCCCCI,-0.111,-0.14
trimethoxymethane,COC(OC)OC,-4.625,-4.42
decane,CCCCCCCCCC,3.335,3.16
"1,2-dinitroxypropane",CC(CO[N+](=O)[O-])O[N+](=O)[O-],-5.646,-4.95
prop-1-ene,C=CC,2.328,1.32
3-methyl-1H-indole,Cc1c[nH]c2ccccc12,-8.161,-5.88
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-13.424,-12.74
cyclohexane,C1CCCCC1,1.503,1.23
cumene,CC(C)c1ccccc1,-0.674,-0.3
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,2.674,2.56
3-methylbutan-2-one,CC(=O)C(C)C,-3.078,-3.24
N-butylbutan-1-amine,CCCCNCCCC,-2.076,-3.24
butane-1-thiol,CCCCS,-0.174,-0.99
"1,2,3,4-tetrachlorodibenzo-p-dioxin",Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,-2.775,-3.81
"2,6-dichlorosyringaldehyde",COc1c(O)c(OC)c(Cl)c(C=O)c1Cl,-9.846,-8.68
cyclohexanamine,NC1CCCCC1,-3.953,-4.59
chloro-difluoro-methane,FC(F)Cl,-0.067,-0.5
methyl 4-nitrobenzoate,COC(=O)c1ccc([N+](=O)[O-])cc1,-6.588,-6.88
1-(3-pyridyl)ethanone,CC(=O)c1cccnc1,-7.844,-8.26
prop-1-yne,C#CC,0.065,-0.48
nonanal,CCCCCCCCC=O,-2.336,-2.07
propionic acid,CCC(=O)O,-9.088,-6.46
chloroform,ClC(Cl)Cl,0.285,-1.08
"1,2,3-trimethylbenzene",Cc1cccc(C)c1C,-0.883,-1.21
methane,C,2.446,2.0
benzyl chloride,ClCc1ccccc1,-1.742,-1.93
methylcyclohexane,CC1CCCCC1,1.679,1.7
2-methylthiophene,Cc1cccs1,-0.3,-1.38
pyridine,c1ccncc1,-3.508,-4.69
1-chlorobutane,CCCCCl,0.993,-0.16
"2,5-dimethyltetrahydrofuran",CC1CCC(C)O1,-1.787,-2.92
4-methyl-2-methoxyphenol,COc1cc(C)ccc1O,-4.547,-5.8
chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)CC(Cl)C3C1(Cl)C2(Cl)Cl,-3.23,-3.44
toluene,Cc1ccccc1,-0.79,-0.9
isobutyl formate,CC(C)COC=O,-3.458,-2.22
ethyl paraben,CCOC(=O)c1ccc(O)cc1,-9.535,-9.2
"1,2-diethoxyethane",CCOCCOCC,-3.42,-3.54
pentyl propanoate,CCCCCOC(=O)CC,-2.176,-2.11
4-propylphenol,CCCc1ccc(O)cc1,-5.211,-5.21
2-methylbut-2-ene,CC=C(C)C,2.272,1.31
"1,2-dichloroethane",ClCCCl,-0.363,-1.79
"3,3-dimethylpentane",CCC(C)(C)CC,2.593,2.56
"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C,-2.953,-2.78
"2,6-dimethylpyridine",Cc1cccc(C)n1,-3.443,-4.59
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(F)(F)C(Cl)Cl,-0.685,-1.12
2-ethoxyethyl acetate,CCOCCOC(C)=O,-5.751,-5.31
3-methoxyaniline,COc1cccc(N)c1,-7.201,-7.29
pyridine-3-carbaldehyde,O=Cc1cccnc1,-7.425,-7.1
2-methylbutan-2-ol,CCC(C)(C)O,-2.933,-4.43
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,-6.851,-8.21
1-methylpyrrole,Cn1cccc1,-2.374,-2.89
dimethoxymethane,COCOC,-3.221,-2.93
pentan-3-ol,CCC(O)CC,-2.786,-4.35
undecan-2-one,CCCCCCCCCC(C)=O,-2.201,-2.15
1-bromo-2-chloro-ethane,ClCCBr,-0.8,-1.95
iodobenzene,Ic1ccccc1,-1.057,-1.74
"3,5,5-trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C)(C)C1,-4.088,-5.18
iodoethane,CCI,-0.609,-0.74
4-propylguaiacol,CCCc1ccc(O)c(OC)c1,-4.127,-5.26
2-bromopropane,CC(C)Br,0.448,-0.48
1-bromo-4-methyl-benzene,Cc1ccc(Br)cc1,-0.894,-1.39
4-hydroxybenzonitrile,N#Cc1ccc(O)cc1,-8.39,-10.17
methylsulfonylmethane,CS(C)(=O)=O,-10.559,-10.08
3-ethylphenol,CCc1cccc(O)c1,-5.272,-6.25
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",C=C(C)C1CC=C(C)C(O)C1,-3.257,-4.44
"1,4-dibromobenzene",Brc1ccc(Br)cc1,-1.091,-2.3
dicamba,COc1c(Cl)ccc(Cl)c1C(=O)O,-8.658,-9.86
pent-2-ene,CC=CCC,2.374,1.31
ethane,CC,2.465,1.83
"1,2-dimethoxybenzene",COc1ccccc1OC,-4.055,-5.33
ethylsulfanylethane,CCSCC,0.299,-1.46
pyridine-3-carbonitrile,N#Cc1cccnc1,-5.582,-6.75
"3,4-dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-5.139,-7.29
anisole,COc1ccccc1,-2.318,-2.45
"2,5-dimethylphenol",Cc1ccc(C)c(O)c1,-5.014,-5.91
"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,-0.19,-1.01
chloro-fluoro-methane,FCCl,-0.171,-0.77
pent-1-ene,C=CCCC,2.532,1.68
"1,2,3,4-tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-0.304,-1.34
hept-1-yne,C#CCCCCC,0.639,0.6
decan-2-one,CCCCCCCCC(C)=O,-2.573,-2.34
chlorobenzene,Clc1ccccc1,-0.475,-1.12
[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c1ccccc1,-7.873,-9.34
pentanal,CCCCC=O,-2.927,-3.03
diphenyl ether,c1ccc(Oc2ccccc2)cc1,-2.81,-2.87
cyclohexanone,O=C1CCCCC1,-4.18,-4.91
1-nitrobutane,CCCC[N+](=O)[O-],-1.449,-3.09
pyridine-4-carbaldehyde,O=Cc1ccncc1,-7.338,-7.0
1-chloro-2-(2-chloroethoxy)ethane,ClCCOCCCl,-2.248,-4.23
1-nitroethane,CC[N+](=O)[O-],-1.839,-3.71
3-chloropyridine,Clc1cccnc1,-2.767,-4.01
bromomethane,CBr,0.46,-0.82
methanol,CO,-3.491,-5.1
heptanal,CCCCCCC=O,-2.704,-2.67
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-1.226,-2.28
2-nitroaniline,Nc1ccccc1[N+](=O)[O-],-7.66,-7.37
1-methylpiperidine,CN1CCCCC1,-3.467,-3.88
octanal,CCCCCCCC=O,-2.57,-2.29
nitrobenzene,O=[N+]([O-])c1ccccc1,-3.46,-4.12
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",CC1CCC(C(C)C)C(=O)C1,-3.523,-2.53
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",OCC1OC(O)C(O)C(O)C1O,-18.095,-25.47
fluoromethane,CF,0.881,-0.22
methylsulfinylmethane,C[S+](C)[O-],-8.243,-9.28
dibenzo-p-dioxin,c1ccc2c(c1)Oc1ccccc1O2,-4.9,-3.15
2-methylaniline,Cc1ccccc1N,-5.325,-5.53
1-bromobutane,CCCCBr,0.705,-0.4
nonan-1-ol,CCCCCCCCCO,-2.564,-3.88
4-methylpyridine,Cc1ccncc1,-3.343,-4.93
"1,1,2,2-tetrachloroethylene",ClC(Cl)=C(Cl)Cl,1.328,0.1
2-bromo-2-methyl-propane,CC(C)(C)Br,0.438,0.84
"1,1-diphenylethene",C=C(c1ccccc1)c1ccccc1,-2.47,-2.78
1-ethyl-4-methyl-benzene,CCc1ccc(C)cc1,-0.575,-0.95
3-methylpyridine,Cc1cccnc1,-3.221,-4.77
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.436,-5.73
9H-fluorene,c1ccc2c(c1)Cc1ccccc1-2,-4.269,-3.35
acetamide,CC(N)=O,-8.82,-9.71
dimethyl sulfate,COS(=O)(=O)OC,-8.411,-5.1
"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,-0.534,-2.37
methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,-4.376,-3.3
1-bromohexane,CCCCCCBr,1.076,0.18
1-bromoheptane,CCCCCCCBr,1.223,0.34
