CID,SMILES,ESOL_predicted,measured
Iodomethane,CI,-1.646,-1.0
cycloheximide,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.5319999999999998,-1.13
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.496,-6.301
isophorone,CC1=CC(=O)CC(C)(C)C1,-2.015,-1.06
Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-1.958,-2.39
5-Nonanone,CCCCC(=O)CCCC,-2.329,-2.58
Glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.591,-2.337
3-Methylpentane,CCC(C)CC,-2.6,-3.68
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-6.896,-8.6
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-3.881,-2.925
Chloroacetonitrile,N#CCCl,-0.4479999999999999,-0.092
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.225,-5.752000000000001
Ethisterone,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-3.858,-5.66
Pyridazine,c1ccnnc1,-0.619,1.1
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.621,-4.63
Diosgenin,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-5.681,-7.32
o-Aminophenol,Nc1ccccc1O,-1.465,-0.72
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.3160000000000003,-3.8
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-2.87,-1.601
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.4090000000000003,-2.05
2-Chlorobutane,CCC(C)Cl,-1.94,-1.96
2-Napthol,Oc1ccc2ccccc2c1,-3.08,-2.28
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.265,-5.696000000000001
1-Hexyne ,C#CCCCC,-1.801,-2.36
1-Nonyne ,C#CCCCCCCC,-2.864,-4.24
2-Chlorotoluene,Cc1ccccc1Cl,-3.297,-3.52
Diisopropyl ether ,CC(C)OC(C)C,-1.281,-1.1
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.464,-3.094
Methyl hydrazine,CNN,0.5429999999999999,1.34
Propyne,C#CC,-0.672,-0.41
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.557,-4.862
Propetamphos,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-2.826,-3.408
Acrolein,C=CC=O,-0.184,0.57
Hypoxanthine,O=c1[nH]cnc2[nH]cnc12,-0.6559999999999999,-2.296
6-hydroxyquinoline,Oc1ccc2ncccc2c1,-2.725,-2.16
Fluorobenzene,Fc1ccccc1,-2.514,-1.8
1-Chloropropane,CCCCl,-1.585,-1.47
Ethyl acetate,CCOC(C)=O,-0.77,-0.04
"2,2-Dimethylpentane",CCCC(C)(C)C,-2.938,-4.36
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-3.993,-4.0
eucalyptol,CC12CCC(CC1)C(C)(C)O2,-2.579,-1.64
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-4.726,-3.896
"4,4'-PCB",Clc1ccc(-c2ccc(Cl)cc2)cc1,-5.299,-6.56
"2,3-Dimethylpyridine",Cc1cccnc1C,-2.067,0.38
Carvone,C=C(C)C1C=CC(C)C(=O)C1,-2.042,-2.06
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.827999999999999,-5.736000000000001
"Etoposide (148-167,25mg/ml)",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.292,-3.571
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-6.007000000000001,-8.804
"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.604,-2.82
2-bromonaphthalene,Brc1ccc2ccccc2c1,-4.434,-4.4
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-1.846,-2.34
6-methoxypteridine,COc1cnc2ncncc2n1,-1.589,-1.139
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.397,-3.19
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.76,-3.658
"2-Methyl-1,3-Butadiene ",C=CC(=C)C,-1.714,-2.03
linalool,C=CC(C)(O)CCC=C(C)C,-2.399,-1.99
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.265,-4.57
Cyclohexanol ,OC1CCCCC1,-1.261,-0.44
5-Allyl-5-methylbarbital,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.013,-1.16
Epiandrosterone,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-3.882,-4.16
mannitol,OCC(O)C(O)C(O)C(O)CO,0.647,0.06
4-Methylbiphenyl,Cc1ccc(-c2ccccc2)cc1,-4.424,-4.62
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.069,-3.85
Phenylthiourea,NC(=S)Nc1ccccc1,-1.7009999999999998,-1.77
4-Heptanone,CCCC(=O)CCC,-1.62,-1.3
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-1.25,-0.72
4-Chlorophenol ,Oc1ccc(Cl)cc1,-2.761,-0.7
Cyclohexanone,O=C1CCCCC1,-0.996,-0.6
m-Methylaniline,Cc1cccc(N)c1,-1.954,-0.85
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,-2.019,-2.168
norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.029,-4.046
2-Decanone,CCCCCCCCC(C)=O,-2.617,-3.3
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.497,-3.785
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.383,-2.616
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-4.083,-3.59
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-3.948,-4.09
"1,2-Benzenediol",Oc1ccccc1O,-1.635,0.62
Reverse Transcriptase inhibitor 1,CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.794,-2.62
Dimethyl sulfide,CSC,-0.758,-0.45
2-Bromotoluene,Cc1ccccc1Br,-3.667,-2.23
O-Ethyl carbamate,CCOC(N)=O,-0.218,0.85
megestrol acetate,CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,-4.417,-5.35
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.6469999999999998,-1.22
Napthalene,c1ccc2ccccc2c1,-3.468,-3.6
N-Ethylaniline,CCNc1ccccc1,-2.389,-1.7
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.057,-4.097
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-6.297000000000001,-7.02
Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-5.026,-6.34
Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-5.537999999999999,-6.89
TEFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-5.462000000000001,-7.28
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.81,-4.678
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.6710000000000003,-2.89
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.569,-3.37
triamcinolone diacetate,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-3.876,-4.13
1-Bromobutane,CCCCBr,-2.303,-2.37
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.001,-6.98
4-Methyl-2-pentanone,CC(=O)CC(C)C,-1.1840000000000002,-0.74
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.35,-3.4
4-Chloroanisole,COc1ccc(Cl)cc1,-3.057,-2.78
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-7.44,-8.402000000000001
Talbutal,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.06,-2.016
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-3.845,-4.04
1-Iodonapthalene,Ic1cccc2ccccc12,-4.888999999999999,-4.55
Ethanethiol,CCS,-0.968,-0.6
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.961,-1.48
Pyrolan,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-3.141,-2.09
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.942,-1.82
o-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],-2.589,-2.33
"5,5-Diisopropylbarbital",CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-1.942,-2.766
2-Ethyltoluene,CCc1ccccc1C,-3.2960000000000003,-3.21
1-Chloroheptane,CCCCCCCCl,-3.003,-4.0
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,-1.265,-2.4
Bibenzyl ,c1ccc(CCc2ccccc2)cc1,-4.301,-4.62
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-2.549,-1.74
RTI 23,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-4.228,-5.153
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-4.87,-5.84
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.378,-4.4
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.299,-4.02
Dimecron,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,-2.426,0.523
Equilin,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-3.555,-5.282
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-3.719,-4.5760000000000005
p-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,-2.522,-2.41
1-Chlorohexane,CCCCCCCl,-2.648,-3.12
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-8.468,-9.16
Raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,0.496,-0.41
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-9.702,-8.334
RTI 5,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.471,-3.324
"1,1-Dichloroethane",CC(Cl)Cl,-1.5759999999999998,-1.29
Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,-0.954,-1.34
Isopropalin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-5.306,-6.49
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.009,-4.64
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.538,-4.194
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.008,-4.0
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.607,-2.31
"3,4-Dichloronitrobenzene",O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.448,-3.2
Cyclooctanol,OC1CCCCCCC1,-2.14,-1.29
17a-Methyltestosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-4.073,-3.999
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.167,-2.17
"trans-1,4-Dimethylcyclohexane",CC1CCC(C)CC1,-3.305,-4.47
"1,7-phenantroline",c1cnc2c(c1)ccc1ncccc12,-2.994,-2.68
Methyl t-butyl ether ,COC(C)(C)C,-0.984,-0.24
Anethole,CC=Cc1ccc(OC)cc1,-3.254,-3.13
1-Hexadecanol,CCCCCCCCCCCCCCCCO,-4.94,-7.0
uracil,O=c1cc[nH]c(=O)[nH]1,-0.441,-1.4880000000000002
adenine,Nc1ncnc2[nH]cnc12,-1.255,-2.12
"2,2',3,4,5-PCB",Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-6.709,-7.21
Ancymidol,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.181,-2.596
Benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-6.007000000000001,-8.23
